dict,problem,name,summary
"{'Age': 46.0, 'Class of Worker': 'Local government employee (city, county, etc.)', 'Educational Attainment': 'Doctorate degree', 'Marital Status': 'Married', 'Occupation': 'EDU-Postsecondary Teachers', 'Place of Birth': 'Sri Lanka', 'Usual Hours Worked per Week': 25.0, 'Sex': 'Female', 'Race': 'Asian alone'}",0,Base summary,"The individual is a 46-year-old female, married, born in Sri Lanka. She holds a doctorate degree and works part-time (25 hours/week) as a postsecondary teacher for local government. She identifies as Asian alone."
"{'Age': 46.0, 'Class of Worker': 'Local government employee (city, county, etc.)', 'Educational Attainment': 'Doctorate degree', 'Marital Status': 'Married', 'Occupation': 'EDU-Postsecondary Teachers', 'Place of Birth': 'Sri Lanka', 'Usual Hours Worked per Week': 25.0, 'Sex': 'Female', 'Race': 'Asian alone'}",0,Somewhat narrative,"At 46, a married woman from Sri Lanka holds a doctorate and works 25 hours per week as a postsecondary teacher in local government. As an Asian individual, she contributes to education while balancing her professional and personal life."
"{'Age': 46.0, 'Class of Worker': 'Local government employee (city, county, etc.)', 'Educational Attainment': 'Doctorate degree', 'Marital Status': 'Married', 'Occupation': 'EDU-Postsecondary Teachers', 'Place of Birth': 'Sri Lanka', 'Usual Hours Worked per Week': 25.0, 'Sex': 'Female', 'Race': 'Asian alone'}",0,Very narrative,"At 46, a Sri Lankan-born female with a doctorate teaches at a local college. Balancing work and family life, she dedicates 25 hours a week to her students. Married and passionate about education, her journey reflects a commitment to learning and community service."
"{'Age': 46.0, 'Class of Worker': 'Local government employee (city, county, etc.)', 'Educational Attainment': 'Doctorate degree', 'Marital Status': 'Married', 'Occupation': 'EDU-Postsecondary Teachers', 'Place of Birth': 'Sri Lanka', 'Usual Hours Worked per Week': 25.0, 'Sex': 'Female', 'Race': 'Asian alone'}",0,Negative first,"This person is a local government employee in the education sector, specifically as a postsecondary teacher. They are a 46-year-old married female, originally from Sri Lanka, with a doctorate degree. They typically work 25 hours per week."
"{'Age': 46.0, 'Class of Worker': 'Local government employee (city, county, etc.)', 'Educational Attainment': 'Doctorate degree', 'Marital Status': 'Married', 'Occupation': 'EDU-Postsecondary Teachers', 'Place of Birth': 'Sri Lanka', 'Usual Hours Worked per Week': 25.0, 'Sex': 'Female', 'Race': 'Asian alone'}",0,Positive first,"At 46 years old, this married individual holds a doctorate degree. They work as a local government employee in the education sector, specifically as a postsecondary teacher. Born in Sri Lanka, they typically work 25 hours per week, and identify as female, belonging to the Asian race."
"{'Age': 67.0, 'Class of Worker': 'State government employee', 'Educational Attainment': 'Regular high school diploma', 'Marital Status': 'Divorced', 'Occupation': 'OFF-Office Clerks, General', 'Place of Birth': 'New York/NY', 'Usual Hours Worked per Week': 37.0, 'Sex': 'Male', 'Race': 'White alone'}",1,Base summary,"The individual is a 67-year-old male, divorced, with a regular high school diploma. He works 37 hours per week as a general office clerk and is employed by the state government. He identifies as White and was born in New York."
"{'Age': 67.0, 'Class of Worker': 'State government employee', 'Educational Attainment': 'Regular high school diploma', 'Marital Status': 'Divorced', 'Occupation': 'OFF-Office Clerks, General', 'Place of Birth': 'New York/NY', 'Usual Hours Worked per Week': 37.0, 'Sex': 'Male', 'Race': 'White alone'}",1,Somewhat narrative,"A 67-year-old male state government employee, born in New York, holds a regular high school diploma. Working as a general office clerk, he typically works 37 hours per week and is currently divorced. His race is classified as White alone."
"{'Age': 67.0, 'Class of Worker': 'State government employee', 'Educational Attainment': 'Regular high school diploma', 'Marital Status': 'Divorced', 'Occupation': 'OFF-Office Clerks, General', 'Place of Birth': 'New York/NY', 'Usual Hours Worked per Week': 37.0, 'Sex': 'Male', 'Race': 'White alone'}",1,Very narrative,"At 67, a divorced man from New York navigates life as a state government office clerk. With a high school diploma, he dedicates around 37 hours weekly to his work, embracing the routine and camaraderie of his role in public service. His journey reflects resilience and dedication."
"{'Age': 67.0, 'Class of Worker': 'State government employee', 'Educational Attainment': 'Regular high school diploma', 'Marital Status': 'Divorced', 'Occupation': 'OFF-Office Clerks, General', 'Place of Birth': 'New York/NY', 'Usual Hours Worked per Week': 37.0, 'Sex': 'Male', 'Race': 'White alone'}",1,Negative first,"At 67 years old, this divorced state government employee works as a general office clerk, typically putting in 37 hours each week and holds a regular high school diploma. He is a white male born in New York."
"{'Age': 67.0, 'Class of Worker': 'State government employee', 'Educational Attainment': 'Regular high school diploma', 'Marital Status': 'Divorced', 'Occupation': 'OFF-Office Clerks, General', 'Place of Birth': 'New York/NY', 'Usual Hours Worked per Week': 37.0, 'Sex': 'Male', 'Race': 'White alone'}",1,Positive first,"This individual is a 67-year-old white male born in New York. He works as a state government employee, holds a regular high school diploma, is divorced, and serves as an office clerk, usually working 37 hours per week."
